"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45"
"63" 1 2 3 5 5 24 7 34 24 10 38 34 13 14 24 41 17 18 30 38 21 27 23 24 25 26 27 41 29 30 38 5 24 34 35 3 37 38 39 40 41 17 17 44 3
"64" 35 8 3 43 15 6 7 8 15 10 20 8 18 14 15 16 42 18 30 20 18 22 23 6 25 26 27 16 29 30 31 32 15 8 35 3 15 20 39 29 16 42 43 44 45
"65" 35 34 36 43 15 6 7 34 15 10 11 12 21 14 15 16 43 21 30 38 21 27 23 24 25 26 27 16 29 30 11 43 15 34 35 36 15 38 39 29 16 43 43 44 45
"66" 35 8 3 43 5 43 7 8 5 10 20 8 13 14 15 16 43 18 19 20 13 22 23 24 25 26 27 28 40 19 20 43 15 8 35 3 15 20 39 40 41 42 43 44 3
"67" 35 12 3 40 9 33 7 12 9 39 20 12 18 14 33 16 40 18 30 20 21 22 23 9 12 26 22 16 29 30 20 9 33 12 35 3 33 20 39 40 41 40 40 35 3
"68" 35 8 36 15 15 33 7 8 15 10 20 12 18 14 15 28 17 18 19 20 18 27 23 15 12 26 27 28 29 30 28 15 33 8 35 36 37 20 44 40 41 17 17 44 36
"69" 1 2 45 24 24 6 7 8 24 10 31 12 21 14 24 16 43 21 19 31 21 22 23 24 34 26 22 16 29 19 31 24 33 34 1 36 6 31 39 29 16 24 43 44 45
"70" 35 34 45 43 5 6 7 34 5 39 38 34 18 14 5 16 43 18 19 38 18 27 23 24 34 26 27 38 29 30 38 5 37 34 35 45 37 38 39 29 38 43 43 39 45
"71" 35 34 3 43 5 5 7 34 9 10 31 34 21 35 5 16 43 18 19 31 21 22 23 5 25 26 22 16 29 19 31 32 5 34 35 36 5 31 39 40 16 43 43 44 3
"72" 35 8 36 9 33 33 7 8 9 10 31 8 21 7 9 16 17 21 19 20 21 27 23 9 8 26 27 16 40 30 31 32 33 8 35 36 33 31 39 40 16 9 32 35 45
"73" 35 34 3 5 5 6 7 34 5 10 31 34 21 14 5 28 6 21 19 31 21 22 23 5 25 26 22 28 40 19 31 6 33 34 35 36 33 31 39 40 28 6 6 44 36
"74" 1 12 36 9 9 6 7 12 9 10 20 12 21 14 33 28 6 21 30 20 21 22 23 9 25 26 27 28 40 30 31 6 33 12 1 36 33 20 39 40 28 6 6 44 36
"75" 35 34 36 17 17 17 14 8 17 10 11 23 21 14 17 16 17 21 19 16 21 22 23 17 14 26 22 16 29 19 16 17 33 34 35 36 17 16 14 29 41 17 17 35 36
"76" 35 8 3 6 32 6 7 8 9 10 11 8 13 14 6 16 6 13 19 11 13 27 8 32 25 26 27 28 40 30 11 32 33 8 35 3 32 11 25 40 41 32 32 44 3
"77" 1 12 3 37 37 37 7 12 15 10 11 12 13 1 15 28 37 13 19 20 13 22 1 37 25 26 22 28 29 19 11 32 33 12 1 36 37 11 39 40 41 37 37 44 45
"78" 35 8 3 4 4 4 7 8 4 10 20 8 21 35 4 16 4 21 30 20 21 22 8 4 8 26 22 16 29 30 31 4 42 8 35 3 4 38 10 29 16 42 4 44 3
"79" 1 12 36 4 4 4 7 12 4 10 20 12 13 14 4 20 4 18 19 20 18 22 23 4 12 4 22 36 29 19 20 4 33 12 1 36 4 20 10 29 29 29 4 44 36
"80" 1 23 3 37 5 15 7 8 5 10 20 8 18 14 15 20 15 18 19 20 18 22 23 5 8 26 22 20 29 30 20 5 33 8 1 3 37 20 39 40 20 5 15 1 45
"81" 1 34 3 4 5 6 7 34 5 10 31 34 18 14 6 28 6 18 19 31 18 27 23 4 25 26 27 28 40 19 31 5 33 34 1 36 5 31 39 40 28 5 6 44 45
"82" 1 2 45 4 24 17 7 8 24 10 31 2 18 14 15 16 17 18 30 20 18 22 23 24 25 26 27 28 29 30 31 4 15 34 1 45 24 31 39 29 41 24 17 44 45
"83" 1 2 3 4 6 6 7 2 24 10 38 12 18 14 15 38 4 18 19 38 18 27 23 24 25 26 27 38 40 19 38 4 15 2 35 45 15 38 39 40 38 24 24 39 45
